id,text,label,category1,category2,category3,category4,category5,single,groups
1,Sólo un imbécil golpea a una mujera para que obedezca. Si la amenzas con matar a su mamá obedece más rápido.,1,0,1,0,0,0,0,1
2,En este mundo solo hay dos tipos de mujeres: a las que les gusta el sexo y a las que les encanta. ,1,1,0,0,0,0,0,1
3,Las historias de acoso sexual en el transporte público no deben ser parte de la normalidad.,0,0,0,0,0,0,0,0
4,"Algún día las mujeres tendrán más autoestima y confianza en si mismas. Ellas tomarán la iniciativa sin complejos ni estigmas sociales. 
Los hombres seremos sus esclavos y hombrezuelos de alquiler.",1,0,0,1,0,0,0,1
5,"Cuando el dice a ""todos"" eso incluye mujeres claramente   pero como es achichincle de los mismos de siempre no va a tener consecuencias legales por lo que ha dicho",1,1,0,0,0,0,0,1
6,“Aquí tenemos una excepcional oportunidad para continuar trabajando de forma indisoluble tanto en Derechos de los Pueblos Indígenas como en Derechos de las Mujeres” indicó de la Morena,1,0,0,0,0,0,0,0
7,¡Ahhh   pero un piropo a una chera es considerado acoso sexual y delito! Más no hay problema en abortar a un hijo   la eutanasia a un padre/abuelo   que los trans vayan a baños de mujeres y las trans a baños de hombres ¿Qué sigue? ¿Incesto   necrofilia   pederastia y bestialismo?,1,0,0,1,0,0,0,1
8,Hoy todo es acoso   unas señoras me preguntaron la hora y yo les dije: tengo un cuarto para las dos   y aquí estoy en la FGR. Hoy todo es acoso. Un buen chiste pero casi realidad en la actualidad.,1,0,0,1,0,0,0,1
9,Pregunta seria: Se le llama ACOSO   cuando te escribe la persona que no te interesa. Pero cuando tu escribes y hostigas a la persona que sí te interesa ¿Sigue siendo acosoo no?,1,0,0,1,0,0,0,1
10,Y dónde están las defensoras de las mujeres por ahí salió una   en una de las comisiones   diciendo que ellas defenderían a quien sea   no importa su partido político   solo hipócritas son esas mujeres que dicen ser feminista,1,0,0,1,0,0,0,1
11,¿Y las brujas maldicientes no le van a hacer brujería al zopenco que publicó la foto? ¿No que son féminazis?,1,0,0,1,0,0,0,1
12,¿Y  las feministas no se va a pronunciar por esto?  Por cierto el clan de “si tocas a una   tocas a todas” ¿todavía existe?,1,0,0,1,0,0,0,1
13,¿Que pasó @user? ¿Para cuando el comunicado condenando las acciones del misógino de @user? ¿Nada que decir? ¿Calladitas?,1,0,0,1,0,0,1,0
14,"""Me vale que @user sea pedófilo   corrupto y pajero   pero se troleó a la bancada cyan y por eso me cae bien.""",1,0,0,1,0,0,0,1
15,La mujer es lo más bello de la creación y tiene un sitio preponderante en este mundo   pero   lo malo es que no se dan su lugar y bailan hasta vulgaridades con letras que denigran a ellas mismas.,1,0,0,1,0,0,0,1
