id,text,is,single
1,Las diputadas y las feministas me las paso por la corbata,1,1
2,Ella solita se delata en su perfil! Mancha paredes   feminazi   abortera y bruja! ¿Y esta es la oposición?,1,1
3,Haraganas revoltosas abortistas q no tienen nada q hacer,1,1
4,"“ni machismo ni feminismo. No me gustan los extremos"".",1,1
5,A mí ese feminismo de odiar al hombre no me representa,1,1
6,Esta lucha del feminismo no va conmigo,1,1
7,Si fueras feminista de verdad te quejarías de la ablación o de la esclavitud infantil y no de tonterías,1,1
8,El feminismo es una moda,1,1
9,Lamentablemente las féminas organizadas nacional e internacionalmente son manipuladas de forma prepago para chantajes económicos y políticos.,1,1
10,La dictadura del matriarcado a comenzado,1,1
11,De lo que usted habla papa es del hembrismo que es lo que disfrazan muchas personas de feminismo   el hembrismo es la otra versión del machismo   el feminismo está bien las otras dos no,1,1
12,Muchos diríamos que es al revés: la Ideología de Género busca evitar que nos expresemos contra la heterofobia   el hembrismo   contra el aborto y feminismo radical al que quieren someter a la Mayoría.,1,1
13,Jajajaja aprovechando que tu coment esta fuera de contexto.... contame porque no hay ninguna feminista ridícula en ucrania protestando por la muerte de niñas y mujeres... ahí no llega la sorosidad o que ondas? Ustedes y su asqueroso chiste feminista dan pena...,1,1
14,"Como queda de mas este tipo de actos de vandalas y resentidas sociales que recurren a la violencia a quienes no tienen vela en este entierro.
Mejor vayan a cantarles esto a los politicos y no hagan ridiculo con su estereotipo sexista.",1,1
15,"Y lastima que la humildad y pocos recursos no le quiten lo feminista sexista y sobre todo lo ignorante a las disque ""mujeres""",1,1
16,¿Las feministas también van a cobrar los $300 del estado opresor?,1,1
17,Jajaja las pinches feministas todo es ataque para ustedes así de inservible su pensamiento,1,1
18,"No hable kk maitro. Eso es una falacia feminista. Las mujeres ganan menos   porque trabajan menos.

Y la mayoría no aceptan trabajos que históricamente lo han hecho hombres por la responsabilidad que conllevan.",1,1
19,"Reducción de la violencia contra las mujeres   y sin necesidad de las marchas destructivas de las ""feminazis""",1,1
20,"Ya veo a las feminasis las tóxicas y algunos ""hombres"" creando el Hastap #SiHayViolenciaContraLaMujer y también #bukelemiente",1,1
21,Feliz día a las mujeres que exigen los mismos derechos para las mujeres y para los hombres y no “trato preferencial “   para las que quieren leyes que castiguen a los delincuentes sean quienes sean #Luchadoras #Fuertes #NoALaIdeologíaDeGenero,1,1
22,Me encanta ver la reacción de cucarachas rociadas de Baygon   cuando uno critica una publicación de feministas resentidas.,1,1
23,Es grande la necesidad de amor que estas mujeres feministas tienen.,1,1
24,Ni machismo ni feminismo   igualdad,1,1
25,Después se quejan las feminazis de que las ofenden. ¿No será que se han puesto de acuerdo para sacar dinero a la gente?,1,1
26,@user es una tipa con problemas sicologicos y no es superior en nada y a nadie de que hablas? Es una feministas de cartón con ideas estúpidas de una sociedad que no existe Cual humillación?.....por favor si las cosas se toman de quien vienen,1,1
27,El feminismo no ayuda a nuestras sociedades y hace que el masculinísimo tome represarías,1,1
28,Pobres putas marimachas y además cogionas !!!,1,1
29,"Celebrando el día de la mujer y oyendo perreo   comprando boletos para #BadBunny donde solo son letras de ""canciones"" que denigran a las féminas. Convirtiéndose en asesinas de seres indefensos... ¡Feliz día ""mujeres""",1,1
30,Son manes aunque se vistan de viejas jejeje,1,1
31,No se espera menos del feminismo   mintiendo sobre la muerte de @user.,1,1
32,Pues ahí si ya existido una candidatura de mujer para la presidencia que no haya sido del partido político que ellas las feministas quisieran es otro pisto inclusión laboral si existe no sé quejen la mujer en la política ya está incluida y en muchos ámbitos laborales,1,1
33,Y muchas de esas mujeres van a ir a ver a su conejo malo   para q las trate de Put@s y ella coreando sus canciones y gritando cada vez q lo hace. En fin la hipocresía en su máxima expresión.,1,1
34,Feministas ??? Lesbianas y maricas ??!! Poctaaaa!!! Que asco !!!,1,1
35,La hipocresía en sus consignas #VivasNosQueremos #NiUnaMenos es tal que insitan a las madres a matar a sus propias hijas desde el vientre. #FeminismoHipocrita #ElSalvadorEsProvida 🇸🇻💙#SialaVida,1,1
36,estas son un monto de feminazis descerebradas q no les interesa insultar a otras mujeres! Es una banda de locas q son manipuladas para dañar! Estos movimientos son nefastos! #NoALaIdeologiaDeGenero #NoALasFeminazis #NoAlLenguajeInclusivo,1,1
37,Exacto   buen termino   yo nunca he visto que las han agredido. No solo por ser mujer no les puedes decir sus adjetivos   esa tontería del feminismo hace ver que solo por ser mujeres uno no les puede decir sus verdades. De hecho si quieren igualdad es igualdad en todo aspecto,1,1
38,Que pedo con las odia hombres o cualquier individuo peneportador jajsj,1,1
39,La mayoría de feministas en El Salvador son más show que lucha por una vida más justas para las mujeres 🤷🏻 Se dijo y se tenía que decir.,1,1
40,No son feminista..son pendeja...as,1,1
41,Esas pedorras falta de hombre es que están,1,1
42,"Feminismo ""a-la-carte""   pero de los dos bandos eh.",1,1
43,Las cuerpas payasas mamierda jajaja,1,1
44,Porque no son feministas son activistas solo con escucharlas y ver su comportamiento dejan mucho que desear según ellas insultar a otras mujeres estuvo bien osea yo te puedo insultar pero tu no doble moral hipócritas vulgares ridículas no tendrán algo mejor que hacer,1,1
45,La generacion de los ofendidos   las feminazis y los medios comunistoides y progres   vayanse a la reverenda.,1,1
46,Dan asco las feministas radicales como tú   ni cuando matan a una mujer se ponen asi estas majes   funando a un 0te que le gusta llamar la atención.. sos un chiste mje.,1,1
47,"Con todo respeto, léase a usted misma.
Usted, mujer, feminista, justifica y defiende a un hombre que se hace pasar por ""niña"" para dejar toda la carga de crianza de hijos a su esposa.
¿Qué clase de feminismo practican ustedes?
Feminismo es defender la feminidad de la mujer.",1,1
48,Sólo un imbécil golpea a una mujera para que obedezca. Si la amenzas con matar a su mamá obedece más rápido.,1,1
49,"Cuando el dice a ""todos"" eso incluye mujeres claramente   pero como es achichincle de los mismos de siempre no va a tener consecuencias legales por lo que ha dicho",1,1
50,“Aquí tenemos una excepcional oportunidad para continuar trabajando de forma indisoluble tanto en Derechos de los Pueblos Indígenas como en Derechos de las Mujeres” indicó de la Morena,1,1
51,Hoy todo es acoso   unas señoras me preguntaron la hora y yo les dije: tengo un cuarto para las dos   y aquí estoy en la FGR. Hoy todo es acoso. Un buen chiste pero casi realidad en la actualidad.,1,1
52,Pregunta seria: Se le llama ACOSO   cuando te escribe la persona que no te interesa. Pero cuando tu escribes y hostigas a la persona que sí te interesa ¿Sigue siendo acosoo no?,1,1
53,Y dónde están las defensoras de las mujeres por ahí salió una   en una de las comisiones   diciendo que ellas defenderían a quien sea   no importa su partido político   solo hipócritas son esas mujeres que dicen ser feminista,1,1
54,¿Y las brujas maldicientes no le van a hacer brujería al zopenco que publicó la foto? ¿No que son féminazis?,1,1
55,¿Que pasó @user? ¿Para cuando el comunicado condenando las acciones del misógino de @user? ¿Nada que decir? ¿Calladitas?,1,1
56,"""Me vale que @user sea pedófilo   corrupto y pajero   pero se troleó a la bancada cyan y por eso me cae bien.""",1,1
57,"Las zorras te insultan pero si tú les dices algo es femenicidio y hay hasta demandas pero ni aún así pueden ganar",1,1
58,Fea esa zorra de pelo rubio,1,1
59,Callate zorra,1,1
60,Bicha pendeja no se que te crees   fea,1,1
61,Pobre vieja estúpida sabes perfectamente que los precios del combustible no los controla el gobierno o acaso tenemos pozos de petróleo o plantas de sus derivados para poder tener control de esos precios fueras más fea fueras más pendeja.,1,1
62,Que necesitas una esposa y varias putas para tener balance en tu vida.,1,1
63,La burra en vez de arreglarse las tetas    se hubiera arreglado la geta.,1,1
64,Romperte el vestido y comerme esas tetas deliciosas y cogerte ahi entre todos,1,1
65,Jajajajajaja. ¿Y quien se lo dice A levantar bajas pasiones llega la Chichedipurrata con sus tetas de silicona. No nos equivocamos. Y nos lo confirma el borracho greñudo y apestoso.,1,1
66,Todo estaba bien aca en este maisal de Twitter   Pero aparecieron las feisbukeras enseñando el culo y las tetas y de jodio la cosa .,1,1
67,Si el miércoles es el #OmbliguitoDeSemana y la semana es fémina   por lo tanto me gusta más el jueves porque vendría siendo su culo o su coño   recuerden: “ya va de bajada la semana”. Si fuera para arriba serían las tetas   a mí no me gustan pero siempre es mejor el jueves.,1,1
68,"Iba a escribirle a alguien: ""muy buenas tetas y tremendo culo   muy bonitas ambas cosas” Pero ya luego te bloquean y te dicen patán y otro montón de insultos. Si subes fotos de escote con zoom en los correspondientes y luego una foto de espalda resaltando el ass ",1,1
69,"En mi libro ""jalan más un par de tetas que un par de carretas"" explico el poder que tiene la mujer sobre el hombre.",1,1
70,Invitar a salir a una mujer y que automáticamente piense que nos la queremos coger   es un pensamiento feminazi. Aunque si   pero pues no.,1,1
71,Jajajajja una bruja en mini falda,1,1
72,...Si ustedes son las brujas que mis ancestros no pudieron quemar   entonces yo seré el inquisidor que las perseguirá hasta verlas en llamas... ¡La única bruja que porta luz es aquella que arde en una hoguera! ¡Amén!,1,1
73,Semejante GUSANO pedile perdón a  tu mamá por bruja y sapa!!,1,1
74,Vos tu madre vieja cerota.. Acabada y gustosa,1,1
75,Esta vieja bruja   @user fotoshop no la queremos ver ni en pintura; su asesora es defensora de pandielleros de la mara-13   dejaron en libertad a un pandiellero arenero condenado a 350 años de prisión por un sin fin de mueres provocadas. ,1,1
76,Es una diputada malvada e indeseable. ,1,1
77,Vieja bruja ya queria decir igual que cantinflas   el monistro y yo   jajaja se le doro el sueño jajaja,1,1
78,Xochil la mera bruja de la manzana,1,1
79,...La otra bruja con el gran lomo de cuche tapa al periodista   y como para el ocico...,1,1
80,Esa vieja bruja diabólica mejor hubiera regalado a la criaturita   viva deberían quemar semejante bestia,1,1
81,Creo que el verdadero enojo del agresor fue porque vió a su mujer salir del salón con la misma cara de bruja con la que entró. No hombre   si los salones de belleza no hacen milagros. El pobre señor de seguridad pagó los platos rotos.,1,1
82,"Me recuerda el chiste del novio que fué a pedirle al suegro oficialmente las nalgas de su hija. Éste   indignado le dice ""¡qué falta de respeto joven   querrá decir   la mano de mi hija!"" El joven le contesta: ""¡noooo   si de pajas ya estoy aburrido!""",1,1
83,Ustedes lo que quieren es pisar y pisar a lo vale verga para no preocuparse si salen embarazadas   ya que te saldría fácil abortarlo.,1,1
84, Esas leyes   que dizque protegen a las mujeres   son inconstitucionales pues ante la ley todos somos iguales.,1,1
85,Esta es una prostituta que presta sus servicios a la gente del puerto... la pasaron de alcohol y droga y se puso estúpida. Que pena para el sexo fuerte.,1,1
86,Los especialistas en hacer meme hagan un meme a esta Betty la fea,1,1
87,"Mujeres   llegó la hora del almuerzo y deben cocinarle a su marido   porque la Convención de Ginebra dice que:
""Todo prisionero tiene derecho a una comida caliente""",1,1
88,"Si lo vemos en perspectiva   los tacos son una comida completamente balanceada... 
- otro de lenguita amors... 
- *la bicha se emociona* 
- le decía a la mesera   bicha calenturienta",1,1
89,Si esa maldita pécora tóxica exige respeto que comience por respetar. Se creen los dueños del país y tratan al ciudadano común como basura.,1,1
90,El man ya parece   aquella nana luchona que no supera al ex que la dejó con 2 bendiciones   que son la cagada de él y que se fue con otra vieja   lo vive maldiciendo y echandole la culpa de todo lo que le pasa,1,1
91,...A veces los hombres sufren y no dicen nada   con todas esas leyes las Mujeres sienten que el hombre no debe decir Nada.,1,1
92,Yo estoy contra la violencia sin importar el género. Lo que argumento es que ya existen leyes que nos protegen a todos los ciudadanos contra cualquier tipo de violencia. Este incidente es inaceptable   pero las leyes especiales lo único que hacen es empoderar a mujeres tóxicas.,1,1
93,Además de financiar al partido político @user que promueve aborto e ideología de género   @user ahora dando más muestras de su inescrupulosa forma de hacer negocios se vale de una tragedia como la guerra para publicitar sus productos.,1,1
94,Si meten con una se meten con todas decian las malqueridas en la campaña anterior.,1,1
95,Y las malqueridas   ¿qué pasó? ¿por qué no dicen esta bocas es mía? las que decían si se meten con una se meten con todas   ¿qué pasó?,1,1
96,Se supone que todas esas caritas son de las dignas   ya me metí en problemas y me acusarán por ser hombre y por maltrato femenil.,1,1
97,Me cagan las majes que se la llevan de dignas cuando ya todo el mundo sabe que les fascina la mazorca.,1,1
98,Cuando una mujer dice que No es NO   ni modo me tocó estudiar el doble para que no me dejara la materia,1,1
99,Esta @user está ardida porque no la pixo @user.,1,1
100,La ardida   tóxica   bola   droga   bochinchera   pandillera   irrelevante también no tiene moral alguna,1,1
101,Yo no digo que @user sea un mal presidente   se preocupa por el pueblo   está demostrando ser un líder   lo único malo que tiene es que es muy dramático el vato   pura vieja ardida con su ex   a cada rato tweet y tweet peleando con la asamblea   ya sabemos que la asamblea es una mierda.,1,1
102,Vos sos puta estás ardida porqué no te agarraron los calzones.,1,1
103,Si va como que si fuera vicha que se toman foto enseñando los calzones.,1,1
104,"Buenos días mis bachilleres ""oficinistas"" que se creen buenísimas   que se maquillan en el bus y usan calzones de abuela   su padre y Maestro os saluda",1,1
